Cliente,Edad,Score,Saldo
15647311,41,608,8380.786
15619304,42,502,15966.079999999998
15737888,43,850,12551.082
15574012,44,645,11375.578
15656148,29,376,11504.674
15792365,44,501,14205.107
15592389,27,684,13460.388
15767821,31,528,10201.672
15643966,45,616,14312.941
15737452,58,653,13260.288
15736816,36,756,13681.564000000002
15728693,43,574,14134.943
15656300,29,411,5969.717
15706552,36,533,8531.17
15750181,41,553,11011.253999999999
15794171,45,475,13426.404
15788448,31,490,14526.023000000001
15729599,33,804,7654.860000000001
15585768,41,582,7034.947999999999
15738148,51,465,12252.232
15687946,61,556,11741.935000000001
15755196,49,834,13139.456
15684171,61,660,15593.110999999999
15754849,32,776,10942.113000000001
15602280,27,829,11204.567
15771573,39,637,13784.38
15766205,38,550,10339.138
15771873,37,776,10376.922
15616550,44,698,11636.337
15768193,36,585,14605.097
15702298,41,655,12556.197
15569590,42,601,9849.572
15760861,43,619,12521.192
15630053,45,656,12786.439999999999
15647091,19,725,7588.82
15804771,51,614,4068.5919999999996
15651280,35,742,13685.7
15773469,27,687,15232.888
15702014,33,555,5608.469
15751208,56,684,7870.716
15592461,26,603,10916.636999999999
15789484,36,751,16983.146
15696061,34,581,10163.304
15641582,43,735,12318.001
15638424,35,661,15072.553
15755648,21,675,9837.326
15703793,58,738,13374.544
15812518,37,657,16360.717999999999
15779052,25,604,15778.083999999999
15780961,21,735,17871.819
15575185,33,757,7725.322
15803136,41,416,12218.966
15706021,34,665,9664.554
15701164,34,506,9030.761999999999
15762418,22,750,12168.182
15767954,28,635,8162.367
15731511,45,808,11862.655
15699461,35,515,17627.395
15738721,41,773,10282.744
15693683,29,814,9708.64
15580146,31,738,8267.414999999999
15613854,46,622,10707.327000000001
15599195,32,582,8893.862
15812878,36,785,9980.685000000001
15602312,33,605,15009.279999999999
15744689,35,479,9283.389
15803526,30,685,9053.681
15665790,39,538,10805.51
15715951,42,562,10023.835000000001
15591100,36,675,10619.055
15609618,28,721,15447.554
15675522,30,628,13235.129
15705512,37,668,16786.44
15661670,31,524,10781.863000000001
15600781,34,699,18517.381
15682472,34,828,12943.333999999999
15580203,39,674,12019.342
15760085,48,684,12638.442
15627360,42,432,15260.345000000001
15782688,56,625,14850.723999999998
15591607,24,770,10182.707
15718369,33,795,13086.242999999999
15677871,38,687,12257.087
15712543,39,789,12482.846000000001
15584518,50,589,14489.505
15802381,34,461,6366.393
15610156,40,637,13346.310000000001
15594408,48,584,21314.620000000003
15640905,35,579,12949.036
15698932,44,756,13745.208999999999
15628145,43,682,12585.193
15612350,31,691,4091.5550000000003
15800703,21,485,11315.722
15705707,29,635,13829.694
15754105,37,650,10696.717999999999
15703264,44,735,12068.163
15689044,37,539,12760.958999999999
15589975,73,646,9725.925
15804017,33,631,12324.67
15692132,22,717,10106.025
15630910,49,800,10800.736
15658929,29,683,13370.289
15585388,31,660,12518.975
15724623,24,704,11303.422
15588537,41,615,10901.323
15611325,24,682,5792.981
15587562,29,484,13011.439
15613172,27,628,9582.649000000001
15651022,44,480,12960.857
15586310,30,578,16946.209
15755209,35,484,13386.821
15790355,36,606,19047.948
